[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3900589104.8775,08/07/2023,4:57 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,MMC1154,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM783,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,771,PREAMP_SERIAL_NUMBER
INFO,LB776,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Glass w 3d,SAMPLE_MATERIAL
INFO,QD Brass ,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3900589129.0585,300.237289428711,2963.75036621094,0.000121734973399498,2.44726293465546E-6,1,0.499626677034896,40.0298881530762,2.00267932410228,55.9399984776974,0.000615303446430071,0.000112908361076787,0.25,-2.73283861884395E-7,0.000121713854911644,1.96275888180447E-7,300.237152099609,300.237152099609,2961.75659179687,2965.744140625,47.625407305255,20.5934919310427,34.3244285583496,0,0,0,20,298.337677001953,1,6,1,2.23220825195313,33.2355842590332,,,,,,,,,,,,,,,,
,3900589129.5605,300.235305786133,2958.28991699219,0.000123970496227439,1.68545788192636E-6,1,0.499626677034896,40.0298881530762,2.00256878614472,55.9399984776974,0.000625426023810654,0.000121127527874674,0.25,9.39392248514796E-7,0.000123944300311177,1.41735712878028E-6,300.237426757812,300.237426757812,2955.759765625,2960.82006835937,48.6798241776975,20.5928712554676,34.321460723877,0,0,0,20,298.337677001953,1,6,1,2.23602294921875,33.2355842590332,,,,,,,,,,,,,,,,
,3900589130.059,300.233184814453,2953.74340820313,0.000123645279227319,2.06914352072606E-6,1,0.499626677034896,40.0298881530762,2.00256878614472,55.9399984776974,0.000625232497017898,0.000113021978209448,0.25,-6.04581774619425E-7,0.000123625104734603,-1.27585950957689E-7,300.233184814453,300.233184814453,2951.72705078125,2955.759765625,48.8048847407744,20.5928712554676,34.3184928894043,0,0,0,20,298.337677001953,1,6,1,2.22763061523438,33.2355842590332,,,,,,,,,,,,,,,,
,3900589130.5305,300.231048583984,2949.25756835937,0.00012194808166191,2.40547943555211E-6,1,0.499626677034896,40.0298881530762,2.0029534158306,55.9399984776974,0.000615975072467229,0.000115745546796027,0.25,2.45609020660662E-7,0.000121924944259442,7.15908339216223E-7,300.233184814453,300.233184814453,2946.7880859375,2951.72705078125,49.0464079532167,20.598516482978,34.3209228515625,0,0,0,20,298.341613769531,1,6,1,2.23312377929687,33.7243423461914,,,,,,,,,,,,,,,,
,3900589131.0465,300.233551025391,2943.79040527344,0.000121475923112385,2.20972238043883E-6,1,0.499626677034896,40.0298881530762,2.0029534158306,55.9399984776974,0.000613208496097853,0.000117350982219608,0.25,6.51070696210216E-7,0.000121451299316731,1.1194706154036E-6,300.228912353516,300.228912353516,2941.7978515625,2945.78295898438,49.2324355407937,20.598516482978,34.3179550170898,0,0,0,20,298.339965820313,1,6,1,2.22808837890625,33.2355842590332,,,,,,,,,,,,,,,,
,3900589131.551,300.238586425781,2938.77465820313,0.000121639129402267,2.41463388335909E-6,1,0.499626677034896,40.0298881530762,2.0027616074709,55.9299997985363,0.000615232639136809,0.000110730117148338,0.25,-6.87482724762579E-7,0.000121619621380081,-2.18218821851186E-7,300.238189697266,300.238189697266,2935.75146484375,2941.7978515625,48.9182208760629,20.5946567249773,34.3090515136719,0,0,0,20,298.334259033203,1,6,1,2.22000122070313,32.7468223571777,,,,,,,,,,,,,,,,
,3900589132.071,300.235305786133,2933.27612304687,0.000119464813917349,2.30829883247335E-6,1,0.499626677034896,40.0298881530762,2.0027616074709,55.9399984776974,0.000602145016527282,0.000119999834909599,0.25,1.55120711131384E-6,0.000119437078648178,2.01168358436886E-6,300.238983154297,300.238983154297,2930.80078125,2935.75146484375,49.2136764563321,20.5946567249773,34.3114814758301,0,0,0,20,298.33740234375,1,6,1,2.22793579101562,32.2580642700195,,,,,,,,,,,,,,,,
,3900589132.5435,300.233215332031,2928.80114746094,0.000121363597555524,1.98482127548165E-6,1,0.499626677034896,40.0298881530762,2.00256799849886,55.9399984776974,0.000612785054515015,0.00011583082765646,0.25,3.75392186481627E-7,0.000121340058559103,8.43410144406508E-7,300.231628417969,300.231628417969,2926.80151367188,2930.80078125,47.6316603334089,20.5944209414837,34.3066253662109,0,0,0,20,298.338989257812,1,6,1,2.220458984375,32.2580642700195,,,,,,,,,,,,,,,,
,3900589133.076,300.234802246094,2923.30444335937,0.000122731603798427,2.2388845254392E-6,1,0.499626677034896,40.0298881530762,2.00256799849886,55.9299997985363,0.000620770278648596,0.000111335422321662,0.25,-7.6862386714077E-7,0.000122712222668673,-2.95124202805517E-7,300.234802246094,300.234802246094,2921.76489257812,2924.84399414063,48.708744432909,20.5944209414837,34.3052749633789,0,0,0,20,298.334655761719,1,6,1,2.22946166992187,32.7468223571777,,,,,,,,,,,,,,,,
,3900589133.5415,300.235137939453,2918.77453613281,0.00011989912019162,2.25368848761395E-6,1,0.499626677034896,40.0298881530762,2.00267071181413,55.9399984776974,0.000605591984608203,0.000113517768926732,0.25,1.88563816409942E-7,0.000119876561886611,6.5096420464779E-7,300.234802246094,300.234802246094,2915.7841796875,2921.76489257812,48.2460203495243,20.5974027962662,34.30419921875,0,0,0,20,298.337219238281,1,6,1,2.22198486328125,33.7243423461914,,,,,,,,,,,,,,,,
