Field (Oe),Channel 1 Resistance (Ohm),Channel 1 Voltage (V),Channel 2 Resistance (Ohm),Channel 2 Voltage (V),Temperature (K),Current (A)
180.0,-16.09762705,-0.321952541,-8.7958691,-0.175917382,300.0,20.0e-3
160.0,-16.85409905,-0.337081981,-9.27747515,-0.185549503,300.0,20.0e-3
140.0,-17.48897645,-0.349779529,-10.636497050000001,-0.212729941,300.0,20.0e-3
120.0,-17.9048912,-0.358097824,-8.534478850000001,-0.170689577,300.0,20.0e-3
100.0,-18.64189425,-0.372837885,-10.65756285,-0.213151257,300.0,20.0e-3
80.0,-19.0038373,-0.380076746,-10.9546087,-0.219092174,300.0,20.0e-3
60.0,-19.60842885,-0.392168577,-9.49034395,-0.189806879,300.0,20.0e-3
40.0,-19.51966185,-0.390393237,-9.10613385,-0.182122677,300.0,20.0e-3
20.0,-19.644646700000003,-0.392892934,-10.39831145,-0.207966229,300.0,20.0e-3
0.0,-20.16323605,-0.403264721,-11.61783765,-0.232356753,300.0,20.0e-3
-20.0,-20.1185584,-0.402371168,-10.918266749999999,-0.218365335,300.0,20.0e-3
-40.0,-20.40973985,-0.408194797,-10.82959215,-0.216591843,300.0,20.0e-3
-60.0,-20.7177082,-0.414354164,-10.169370449999999,-0.203387409,300.0,20.0e-3
-80.0,-20.56578265,-0.411315653,-8.899894549999999,-0.177997891,300.0,20.0e-3
-100.0,-20.60353905,-0.412070781,-9.63652595,-0.192730519,300.0,20.0e-3
-120.0,-20.7949716,-0.415899432,-12.08971645,-0.241794329,300.0,20.0e-3
-140.0,-20.616196249999998,-0.412323925,-10.49780825,-0.209956165,300.0,20.0e-3
-160.0,-21.1219601,-0.422439202,-10.709392750000001,-0.214187855,300.0,20.0e-3
-180.0,-20.9063026,-0.418126052,-9.6596524,-0.193193048,300.0,20.0e-3
-200.0,-20.7690508,-0.415381016,-8.94222845,-0.178844569,300.0,20.0e-3
-220.0,-21.177181549999997,-0.423543631,-10.610420399999999,-0.212208408,300.0,20.0e-3
-240.0,-20.6780925,-0.41356185,-9.24462675,-0.184892535,300.0,20.0e-3
-260.0,-20.64835075,-0.412967015,-11.862141549999999,-0.237242831,300.0,20.0e-3
-280.0,-20.7978655,-0.41595731,-12.2424788,-0.244849576,300.0,20.0e-3
-300.0,-21.0257491,-0.420514982,-11.13692845,-0.222738569,300.0,20.0e-3
-300.0,-20.4736674,-0.409473348,-10.76238635,-0.215247727,300.0,20.0e-3
-280.0,-20.765088849999998,-0.415301777,-11.53922015,-0.230784403,300.0,20.0e-3
-260.0,-21.06558675,-0.421311735,-10.9684485,-0.21936897,300.0,20.0e-3
-240.0,-21.0380984,-0.420761968,-10.210068,-0.20420136,300.0,20.0e-3
-220.0,-20.6340144,-0.412680288,-8.9926078,-0.179852156,300.0,20.0e-3
-200.0,-20.98589085,-0.419717817,-10.11955675,-0.202391135,300.0,20.0e-3
-180.0,-20.96150235,-0.419230047,-10.23912005,-0.204782401,300.0,20.0e-3
-160.0,-20.78157555,-0.415631511,-10.86531855,-0.217306371,300.0,20.0e-3
-140.0,-19.943610749999998,-0.398872215,-11.7737744,-0.235475488,300.0,20.0e-3
-120.0,-20.1249865,-0.40249973,-9.96962005,-0.199392401,300.0,20.0e-3
-100.0,-19.9803681,-0.399607362,-11.5956999,-0.231913998,300.0,20.0e-3
-80.0,-19.6722496,-0.393444992,-10.56605075,-0.211321015,300.0,20.0e-3
-60.0,-19.46187875,-0.389237575,-11.316258249999999,-0.226325165,300.0,20.0e-3
-40.0,-19.6546782,-0.393093564,-12.07780845,-0.241556169,300.0,20.0e-3
-20.0,-19.4718997,-0.389437994,-10.639107599999999,-0.212782152,300.0,20.0e-3
0.0,-18.96501,-0.3793002,-13.923399,-0.27846798,300.0,20.0e-3
20.0,-18.39351615,-0.367870323,-12.372680849999998,-0.247453617,300.0,20.0e-3
40.0,-18.461092100000002,-0.369221842,-10.041153999999999,-0.20082308,300.0,20.0e-3
60.0,-18.158607,-0.36317214,-12.94813635,-0.258962727,300.0,20.0e-3
80.0,-17.630079000000002,-0.35260158,-11.3758943,-0.227517886,300.0,20.0e-3
100.0,-17.66942055,-0.353388411,-12.64658055,-0.252931611,300.0,20.0e-3
120.0,-17.6458153,-0.352916306,-11.44976165,-0.228995233,300.0,20.0e-3
140.0,-17.31570125,-0.346314025,-11.931088099999998,-0.238621762,300.0,20.0e-3
160.0,-17.0826185,-0.34165237,-11.50324685,-0.230064937,300.0,20.0e-3
180.0,-17.074641,-0.34149282,-10.395509899999999,-0.207910198,300.0,20.0e-3
200.0,-16.990311799999997,-0.339806236,-11.31934995,-0.226386999,300.0,20.0e-3
220.0,-17.3866227,-0.347732454,-10.4610519,-0.209221038,300.0,20.0e-3
240.0,-16.9366494,-0.338732988,-11.74173745,-0.234834749,300.0,20.0e-3
260.0,-17.272638,-0.34545276,-12.37518095,-0.247503619,300.0,20.0e-3
280.0,-17.3910827,-0.347821654,-11.1397187,-0.222794374,300.0,20.0e-3
300.0,-16.86531005,-0.337306201,-11.14442925,-0.222888585,300.0,20.0e-3
